"contrast_id","domain","cat1","cat2","feature","mean_cat1","mean_cat2","sd_cat1","sd_cat2","mean_diff_cat2_minus_cat1","cohen_d_cat2_vs_cat1","n_cat1","n_cat2"
"stop_voicing_b_p","stop_voicing","b","p","vot_ms",42.8426303854875,52.1381708238851,32.0720005472941,30.8280446059689,9.29554043839758,0.295507677969239,300,300
"stop_voicing_d_t","stop_voicing","d","t","vot_ms",37.9537414965986,54.346485260771,30.9508237976042,31.8832312041535,16.3927437641723,0.521721515642302,300,300
"stop_voicing_g_k","stop_voicing","g","k","vot_ms",40.1587301587302,59.5213907785336,28.709522295798,31.6501909306043,19.3626606198035,0.640815581084059,300,300
"fricative_place_s_sh","fricative_place","s","sh","cog_hz",6310.93647934601,5099.39502432711,1496.85272378594,1182.45340356477,-1211.54145501891,-0.898206770496765,300,300
"fricative_place_s_sh","fricative_place","s","sh","spec_sd_hz",1620.72472663396,1733.18504521299,540.047422905845,458.030359028955,112.460318579024,0.224596771059334,300,300
"fricative_place_s_sh","fricative_place","s","sh","spec_skew",-0.0178793268817855,0.533891847877633,1.06356057944225,0.997360329607026,0.551771174759418,0.535184764222937,300,300
"fricative_place_s_sh","fricative_place","s","sh","spec_kurt",4.58091055459867,4.26092645647362,3.66027472695866,4.52229343250523,-0.319984098125053,-0.0777807422185258,300,300
"fricative_place_s_sh","fricative_place","s","sh","peak_hz",6008.26611328125,4490.96484375,2374.39395686688,1914.84935603403,-1517.30126953125,-0.703465423465864,300,300
"fricative_place_s_sh","fricative_place","s","sh","spec_slope_db_per_khz",0.783378260916475,-0.142909151612097,1.58092038153705,1.27514486296918,-0.926287412528572,-0.644960026155124,300,300
"fricative_place_s_sh","fricative_place","s","sh","band_ratio_hi_lo_db",18.052635836085,10.6711806557299,10.3647832546516,8.39260387537251,-7.3814551803551,-0.782730592528268,300,300
"fricative_place_s_sh","fricative_place","s","sh","intensity_db",-39.6359498037397,-38.9828528828977,7.81013501077586,8.30775229953545,0.653096920842017,0.0810014205106884,300,300
"fricative_place_f_th","fricative_place","f","th","cog_hz",5827.12466067053,5478.37300654168,1887.08115873512,1716.68734272847,-348.75165412885,-0.193332325313914,300,300
"fricative_place_f_th","fricative_place","f","th","spec_sd_hz",2226.97213079913,2209.94865121646,672.786849285898,645.2129690286,-17.02347958267,-0.0258266428851079,300,300
"fricative_place_f_th","fricative_place","f","th","spec_skew",-0.169304798851422,-0.00818438825555723,1.24500878410665,1.09426940996188,0.161120410595865,0.137467136902524,300,300
"fricative_place_f_th","fricative_place","f","th","spec_kurt",4.31290460336769,3.88042017865185,3.93251220934507,2.83966505306909,-0.432484424715838,-0.126092639080684,300,300
"fricative_place_f_th","fricative_place","f","th","peak_hz",5321.21337890625,4608.03369140625,3335.77581147758,3075.48321297578,-713.1796875,-0.222294136727057,300,300
"fricative_place_f_th","fricative_place","f","th","spec_slope_db_per_khz",0.00154201811209632,-0.188614005117396,1.3266890387682,1.19474147168807,-0.190156023229493,-0.150625755685245,300,300
"fricative_place_f_th","fricative_place","f","th","band_ratio_hi_lo_db",7.91131008897075,7.48910473797,8.48000890669022,8.49527429781873,-0.422205351000756,-0.0497435212358864,300,300
"fricative_place_f_th","fricative_place","f","th","intensity_db",-41.8712634650295,-41.4782372938412,8.35869366379849,7.37132074596348,0.393026171188332,0.0498733396884696,300,300
"fricative_place_z_zh","fricative_place","z","zh","cog_hz",6119.44540157474,4690.11200430955,1612.06869432858,1208.38744000482,-1429.33339726519,-0.947716203150122,300,120
"fricative_place_z_zh","fricative_place","z","zh","spec_sd_hz",1696.13452311122,1771.18841054133,620.426417677268,512.423403835648,75.0538874301099,0.126846666422626,300,120
"fricative_place_z_zh","fricative_place","z","zh","spec_skew",0.0269863278031936,0.720737754930534,1.3332437799495,1.20897612440451,0.69375142712734,0.534034076590014,300,120
"fricative_place_z_zh","fricative_place","z","zh","spec_kurt",5.51242134279197,5.1288751346607,9.13958560213358,5.87503416319332,-0.38354620813127,-0.0459814465050486,300,120
"fricative_place_z_zh","fricative_place","z","zh","peak_hz",5698.76220703125,3919.04296875,2532.65005659018,2046.37130973727,-1779.71923828125,-0.740239692353962,300,120
"fricative_place_z_zh","fricative_place","z","zh","spec_slope_db_per_khz",0.643884137097143,-0.707372065417901,1.68924441601884,1.18563679550193,-1.35125620251504,-0.864810296297014,300,120
"fricative_place_z_zh","fricative_place","z","zh","band_ratio_hi_lo_db",16.1154126450626,6.93681762026708,11.0337463272478,7.6974035310848,-9.17859502479557,-0.900241609516261,300,120
"fricative_place_z_zh","fricative_place","z","zh","intensity_db",-38.46614198678,-34.8545902841993,7.89851744473141,7.4112564360768,3.6115517025807,0.465231425630709,300,120
