"type","sex","speaker","vowel","repetition","f0","f1","f2","f3","f1_z","f2_z","vowel_ipa"
"m","m","1","I","1",203,390,2030,2640,-0.550518582162479,1.19471376552771,"/ɪ/"
"m","m","1","I","2",192,310,1980,2550,-1.02408295391515,1.08785206914777,"/ɪ/"
"m","m","1","E","1",161,490,1870,2420,0.0414368825283586,0.852756337111909,"/ɛ/"
"m","m","1","E","2",155,570,1700,2600,0.515001254281028,0.489426569420118,"/ɛ/"
"m","m","2","I","1",141,410,1890,2680,-0.514615473235138,1.07909513348204,"/ɪ/"
"m","m","2","I","2",139,420,1850,2500,-0.450886002865462,1.00636757604433,"/ɪ/"
"m","m","2","E","1",136,500,1760,2590,0.0589497600919508,0.842730571809479,"/ɛ/"
"m","m","2","E","2",135,510,1710,2380,0.122679230461627,0.75182112501234,"/ɛ/"
"m","m","3","I","1",100,400,1930,2610,-0.718116743261632,1.0861906977148,"/ɪ/"
"m","m","3","I","2",104,400,1990,2700,-0.718116743261632,1.21467062253074,"/ɪ/"
"m","m","3","E","1",100,550,1810,2500,0.388949150769661,0.829230848082907,"/ɛ/"
"m","m","3","E","2",95,540,1810,2480,0.315144757834241,0.829230848082907,"/ɛ/"
"m","m","4","I","1",156,450,1960,2400,-0.625180565132031,1.0814884727242,"/ɪ/"
"m","m","4","I","2",146,440,2050,2360,-0.690134390080813,1.26257491466872,"/ɪ/"
"m","m","4","E","1",130,570,1780,2410,0.154265334253358,0.719315588835167,"/ɛ/"
"m","m","4","E","2",150,555,1890,2440,0.0568345968301846,0.94064346232291,"/ɛ/"
"m","m","5","I","1",137,440,2060,2640,-0.621636250994446,1.28541274915252,"/ɪ/"
"m","m","5","I","2",134,430,1880,2450,-0.685722462437173,0.901707450898038,"/ɪ/"
"m","m","5","E","1",140,580,1910,2500,0.275570709203724,0.965658333940452,"/ɛ/"
"m","m","5","E","2",137,550,1770,2400,0.0833120748755443,0.66722087974252,"/ɛ/"
"m","m","6","I","1",133,420,2000,2660,-0.689550647789829,1.12597107376853,"/ɪ/"
"m","m","6","I","2",125,313,2000,2750,-1.34335586988563,1.12597107376853,"/ɪ/"
"m","m","6","E","1",120,600,1860,2500,0.410308604333956,0.841480999183448,"/ɛ/"
"m","m","6","E","2",114,570,1830,2570,0.226998728979992,0.780518840343787,"/ɛ/"
"m","m","7","I","1",167,470,2000,2660,-0.462692463628986,1.10297494259402,"/ɪ/"
"m","m","7","I","2",170,410,2040,2715,-0.91154529819227,1.18246863215034,"/ɪ/"
"m","m","7","E","1",167,630,1900,2860,0.734248428539772,0.904240718703202,"/ɛ/"
"m","m","7","E","2",146,614,1840,2770,0.614554339322896,0.785000184368714,"/ɛ/"
"m","m","8","I","1",110,320,2200,2680,-0.862183861838999,1.26051219686916,"/ɪ/"
"m","m","8","I","2",103,206,2130,2570,-1.58014558754861,1.12621104956195,"/ɪ/"
"m","m","8","E","1",107,430,2100,2630,-0.16941377562797,1.06865341500171,"/ɛ/"
"m","m","8","E","2",105,515,1760,2470,0.365908563716916,0.416333556652372,"/ɛ/"
"m","m","9","I","1",167,450,1820,2475,-0.536677474464422,0.936670916217752,"/ɪ/"
"m","m","9","I","2",167,434,1850,2425,-0.660051606525208,1.00307792906552,"/ɪ/"
