"v1","v2","n_tokens","jsd","pillai","bhatt","overlap"
"{","3'",304,0.617843499948221,0.571195479172323,0.825502972359296,0.286001807850345
"{","A",304,0.999019662289185,0.827073821798157,2.5781989360701,0.000310321509682441
"{","E",304,0.520515213649238,0.579566966294703,0.79436724642955,0.247499200687432
"{","i",304,0.99997204076912,0.896079385697056,4.59932389379784,3.21790859878858e-06
"{","I",304,0.973455661118868,0.806518726496846,2.28348095513658,0.00560973542347582
"{","O",304,0.999819842127228,0.856564690200719,3.2054630956641,4.49938812082529e-05
"{","u",304,0.992747013490648,0.812795864381806,2.33576411039432,0.00662556346501209
"{","U",304,0.940219021770627,0.744832951132059,1.69700199419993,0.0599935530926975
"{","V",304,0.73910823780587,0.6597642910846,1.08523035142026,0.211352246950057
"3'","A",304,0.998516531907584,0.850006204680703,3.09481015342941,0.000742388569279912
"3'","E",304,0.45433719960111,0.540701521187252,0.624516494977849,0.475030087257568
"3'","i",304,0.999972380511036,0.907061261181349,4.9243734516889,5.63467771150249e-06
"3'","I",304,0.864017881735014,0.775189613032622,1.74853280789212,0.0878172849534912
"3'","O",304,0.994882851353854,0.830434800845447,2.58132115809879,0.00125871761338842
"3'","u",304,0.722259836679825,0.649775755351994,0.932655475909086,0.14343662770145
"3'","U",304,0.367119786211126,0.478202899511978,0.500221522468917,0.374556016466258
"3'","V",304,0.883752080835381,0.733339143062148,1.46897179463203,0.0512223019833815
"A","E",304,0.999999809544006,0.9050999905858,5.07620172620406,2.39457857483713e-08
"A","i",304,0.999999999999434,0.958432757721246,12.0200042897653,2.13561736156384e-59
"A","I",304,0.999999999999762,0.942511579912319,8.57483566410396,6.53200328609684e-23
"A","O",304,0.3933538272368,0.508688615132331,0.56602838769406,0.446927955122846
"A","u",304,0.991541202647842,0.830551329479144,2.67136918867815,0.00308591994952624
"A","U",304,0.991009268579804,0.800551908562121,2.21756227599056,0.00363473874433266
"A","V",304,0.572669919987701,0.586428742871255,0.768225696812638,0.255243068452445
"E","i",304,0.997704831303382,0.871720011126878,3.4506456563896,0.000627729803852957
"E","I",304,0.572117142281978,0.602072392903512,0.77502610940307,0.22127597460322
"E","O",304,0.999999990049859,0.899222296109776,4.66712981231036,7.91091409101088e-10
"E","u",304,0.966119441418334,0.820972075478905,2.3369478177771,0.0202412019088991
"E","U",304,0.972044565739468,0.790420788420539,1.99243178461641,0.0221113116746329
"E","V",304,0.998976458863128,0.85026077383597,2.96500377588316,0.000379279069375661
"i","I",304,0.809926367998237,0.72122405308257,1.3068611752969,0.0821369696373147
"i","O",304,0.999999999999417,0.959769873478067,12.2257641671889,2.6088464204849e-46
"i","u",304,0.999999999967003,0.922053702670478,5.98504211057083,2.27337635877052e-12
"i","U",304,1,0.941948492458646,8.22000389436689,1.14441416131981e-20
"i","V",304,0.999999999999963,0.953563756289219,10.5135235139131,4.11673993682254e-42
"I","O",304,0.999999999999751,0.941304996747923,8.23641806905563,2.42804715764733e-17
"I","u",304,0.993103759980839,0.867940478262689,3.31652364614178,0.0030516532322915
"I","U",304,0.9994080030578,0.889832059690107,4.1099467134322,0.000254322508790382
"I","V",304,0.999999999996476,0.92549633264753,6.37144633210124,2.04461417042078e-13
"O","u",304,0.933276688323349,0.773280839172956,1.79809714868919,0.0250856535660693
"O","U",304,0.899894246394274,0.746440547388489,1.54077057210584,0.0461745594355264
"O","V",304,0.663991665438877,0.658739288042628,0.985125700141955,0.219848984311436
"u","U",304,0.291266428221594,0.38086150364676,0.319026596922499,0.400602618899749
"u","V",304,0.90651432988953,0.784364766270044,1.87660520144748,0.0365945599295844
"U","V",304,0.793404085673559,0.659704270782252,1.03361635544615,0.132580417129021
