n_per_category,mean,median,p05,p25,p75,p95,reps
5,0.258560292262387,0.220057476991359,0.0713230152909595,0.136186522532685,0.340315234782834,0.575615715453063,1000
6,0.201870016063535,0.169415804754703,0.0538058667857352,0.105159899065173,0.259469621234864,0.484457225318337,1000
7,0.169102200124447,0.144758218007411,0.0500486939507298,0.0944164451152277,0.214720166617975,0.378452094971896,1000
8,0.144344109372138,0.122628917639976,0.0444860439481147,0.0813044010752845,0.185711931275809,0.306806783751062,1000
9,0.12730607928972,0.107689167570217,0.0405941255031723,0.0697868275422465,0.159785237807944,0.28247384002649,1000
10,0.116235423455723,0.0984404286409607,0.0355351759350478,0.0681913041217682,0.148568285720081,0.249214512825472,1000
11,0.107858643077087,0.0935360791792187,0.0337074459339104,0.0623663064649033,0.138826661999012,0.231507909036413,1000
12,0.100651106314208,0.0847934427797278,0.03208124883911,0.058952693948482,0.130120178771019,0.215753127616594,1000
13,0.0907952311319002,0.0781277756299283,0.0273295883811428,0.0519050373780561,0.11402860068979,0.195511961855447,1000
14,0.0832871581105091,0.0712901248910946,0.0279045998474979,0.0487710132774839,0.10427235897366,0.179495285152576,1000
15,0.0820385154995318,0.0719873415233031,0.0261238732613321,0.0486950509134652,0.103895362423046,0.165234207641685,1000
16,0.0767668743205248,0.0671946238416307,0.0260330356631199,0.0453452454580445,0.0973634092266696,0.156595231214118,1000
17,0.0737647151665334,0.064675068050143,0.0242206497547446,0.0429742145057299,0.0935645775099033,0.158774512648817,1000
18,0.0682342255453393,0.0593680699144759,0.0243447287898171,0.0412976896164472,0.0855655619210248,0.145792334480601,1000
19,0.0657385519430216,0.0588833905496231,0.0233431881427169,0.0392272809342071,0.0829061883901857,0.136235869259116,1000
20,0.0605801007229938,0.0524326431105025,0.0227678397118903,0.0368184260256535,0.0782600098437597,0.122845426811767,1000
21,0.0591353360392892,0.0517119617492045,0.022636179150497,0.036629926709357,0.0723749799265891,0.121834717748778,1000
22,0.059370088296996,0.0516680669741668,0.0199502602594861,0.0363906459613821,0.0738420314316272,0.124365433267044,1000
23,0.0560631714043583,0.0497225384362335,0.0198319854094409,0.0342359196416928,0.0710634055368543,0.116062756202314,1000
24,0.0539736111703205,0.047702770229893,0.0201522345455714,0.033340500972323,0.0676005242531494,0.112099466404898,1000
25,0.052057189443541,0.0470648591695057,0.0196080399356976,0.0330495664053362,0.0662584675750351,0.104053416736587,1000
26,0.0504734305941246,0.0455042615158836,0.0183798636397586,0.0314242318605584,0.0633269317799604,0.101928503673063,1000
27,0.0488858231963759,0.041969543947409,0.0183965583286716,0.0300657031675188,0.0606866298341275,0.097579349680124,1000
28,0.0474615185991611,0.0420321905886264,0.0167558193108079,0.0295044982583626,0.0587192672953024,0.0929391511427076,1000
29,0.0456894133245382,0.0411406310340182,0.0181109139319678,0.0286288965073086,0.0578247582756225,0.0935580424723566,1000
30,0.0442398543889006,0.038602756053296,0.0164441318721272,0.0267109466969588,0.0547832199800005,0.093824068870135,1000
31,0.0429297658386802,0.0385160031456717,0.0163853466870056,0.0271655054986335,0.0531537604891761,0.0846101813896892,1000
32,0.0429276601241721,0.0377393156590012,0.0168543591864823,0.0270148463651387,0.0527129884053501,0.0842133498436241,1000
33,0.0413467061548171,0.0366240142123426,0.0158951434532376,0.0258765385262945,0.0500601024387191,0.0839973902104782,1000
34,0.0395905679016976,0.0350133230189858,0.0164293829240943,0.0253123004420279,0.0491537118261137,0.078497035659211,1000
35,0.0387511397843774,0.0349576542968364,0.0155300301406328,0.0251371693679878,0.0485252722944565,0.0731089590002158,1000
36,0.0390486683197463,0.0350113628527153,0.0153553533119952,0.0254737791832837,0.0479214618338155,0.0767502015310497,1000
37,0.0368585100423015,0.0329218263624507,0.0146450217618289,0.0239271505814922,0.0456968977874774,0.0732503195319441,1000
38,0.0367542975064717,0.0328571247258789,0.0156029694831971,0.0239220376061882,0.0458115325668037,0.0707516402065347,1000
39,0.0360970093601813,0.032385285999624,0.0142802455695216,0.0226827784077455,0.0448555344704871,0.0715233296741789,1000
40,0.035295061892994,0.0321443840738691,0.0136891134519921,0.0224708532106916,0.0436680138881387,0.0676306458706109,1000
41,0.0345819544489295,0.0306397027470933,0.0138810129961613,0.022037786439254,0.0427426385704402,0.0689519552732248,1000
42,0.0344883308605801,0.0313408931006997,0.0148410039480058,0.0223839659028741,0.0429119415690828,0.0663050568381899,1000
43,0.0340458156868972,0.0304051301755549,0.0133294523406597,0.0222759870128394,0.041778457497708,0.0658992529721652,1000
44,0.0329226125246758,0.0300638235971587,0.0122306333301406,0.0209736358990291,0.0414708197977961,0.0636028571397007,1000
45,0.0320448599601965,0.0289571644287903,0.0126925654126106,0.02039504398687,0.039447436996796,0.0626827698001988,1000
46,0.0318032765960136,0.0286083674912682,0.0129432788967671,0.0205326854503199,0.0399243871449631,0.0619321781849415,1000
47,0.0305379603960691,0.0276575746508318,0.0123406099917779,0.0199751530130585,0.0383410151039618,0.0569324404607507,1000
48,0.0307361555097946,0.028537023698637,0.0123469912212185,0.0202685140684739,0.0383878935695211,0.0585519681250829,1000
49,0.0308969932021275,0.0277719420798798,0.0122649736071117,0.020281876495264,0.0388881472016474,0.0592780203566176,1000
50,0.0292887200682331,0.0262434769424204,0.0112436507704064,0.0194502389318442,0.0371673757135218,0.0562697959326541,1000
51,0.0291797376977873,0.0260760900579791,0.0121003698175626,0.0184928333110853,0.036688524713379,0.0570605014951292,1000
52,0.0294157433025647,0.0262643743176869,0.0126142611915505,0.0192729692775707,0.0364129396780241,0.0589627606294647,1000
53,0.0285620865573016,0.025901430921139,0.0117189650455931,0.0189068106835646,0.035184811664065,0.0534210883364812,1000
54,0.0288778892241088,0.0262539979649498,0.0119529818377064,0.0190042752906387,0.0354969359186857,0.0578127193987239,1000
55,0.0278903103976987,0.0253730159239914,0.0114552149740234,0.0187775983474467,0.0341754633278592,0.0533542928985176,1000
56,0.0272907352602247,0.024921816710768,0.011283325349458,0.0180140885383231,0.0335888555686663,0.0518887142943468,1000
57,0.0262542748082171,0.0238844808791447,0.0110774902295754,0.0172475574815153,0.0321751328138166,0.0494834794503048,1000
58,0.0269849791981495,0.0247067363742375,0.0106362485986521,0.0171244214837552,0.0334549406023423,0.0526698104072104,1000
59,0.0260057884065911,0.023377501054737,0.0108722200688915,0.0171994832687502,0.0326827861280025,0.0495189192438116,1000
60,0.026294037203816,0.0240560158480409,0.0110340483999995,0.0175907270415195,0.0324525506666919,0.0489221875353169,1000
61,0.0260389013272046,0.0241163688727325,0.0110290642638332,0.0174648944155972,0.0321409449723139,0.0490746724495246,1000
62,0.0255414992956936,0.0232434923884164,0.0108592150201549,0.0166475745127221,0.0314546459062335,0.0475930920195937,1000
63,0.025609507507864,0.0235131470009919,0.0108989820227524,0.0170545124616259,0.0318512040606406,0.0468262143491445,1000
