v1,v2,n_tokens,jsd,pillai,bhatt_dist,overlap_kde,bhatt_affinity,n_balanced_per_vowel,overlap_knn_density_k10,overlap_knn_density_k25,overlap_knn_density_k50,overlap_mvn_mc,overlap_pca2_grid,overlap_pca2_hull
a,æ,1000,0.791788461985354,0.153785436835487,0.17635756253641,0.07185093322391,0.838318178566545,500,0.4345336761451092,0.5550107094738381,0.623853483921686,0.5637940081278022,0.434,0.9432665116930373
a,aj,1000,0.819578001650552,0.0868639138783485,0.107930738816365,0.0705550759204256,0.897689769333287,500,0.6529769725309628,0.7475407572404071,0.7838085317079,0.6491820342539598,0.44200000000000006,0.9524280667211511
a,aw,1000,0.836444631393361,0.243232322072412,0.256059849618173,0.0604537616140536,0.774095638077456,500,0.4588436618861155,0.5548168806392434,0.609569282990273,0.4871903410283152,0.366,0.8947710416014805
a,ɐ,1000,0.867782414616513,0.199905420495903,0.217835063556035,0.0497100447163362,0.804258082195737,500,0.45170717957995865,0.5283298930642739,0.5819658073135439,0.5325324509681305,0.43600000000000005,0.9195502788381551
a,ɑ,1000,0.883907401034797,0.377296984880279,0.431925000456819,0.050656349563148,0.649258068917752,500,0.3764085838266175,0.47112254532941644,0.5032791400621346,0.3595092639286848,0.33199999999999996,0.8224249977392009
a,ɑː,1000,0.915269477360937,0.453707875933131,0.594287236497097,0.0326291846560231,0.551955839673306,500,0.16026318684377147,0.23252182887507755,0.2885586651643081,0.2921817255801468,0.276,0.7523467042561243
a,ɒ,1000,0.936249128796427,0.495301882471221,0.648749938243113,0.0254668975183605,0.522698774280468,500,0.15221933594630765,0.25694422527827115,0.31835914127710985,0.2642006997739849,0.234,0.8543671208187766
a,ɒː,939,0.951304067220553,0.560386670872192,0.82833518103251,0.0234037019669158,0.436775834061584,439,0.10898710036662503,0.1607283585269062,0.20350530484814422,0.21274634568893344,0.21640091116173119,0.8827115155273235
a,e,1000,0.853723620737969,0.487831736932733,0.737438197501665,0.0520578604286332,0.478337754088837,500,0.2306629258225,0.2442578079597087,0.2790952749901025,0.2282782270065351,0.244,0.820433108241549
a,ej,1000,0.913662425081864,0.452670641939445,0.61216066995629,0.0366761423129412,0.542178134578305,500,0.2109534685103643,0.273401409200117,0.3107306730205445,0.2872047806238533,0.28400000000000003,0.8658084499656479
a,ə,1000,0.85106435106816,0.247659263962028,0.291949811116602,0.0534732428186835,0.746806016392877,500,0.5064552740076794,0.5742179594073678,0.5933389835297074,0.46655508421418035,0.43200000000000005,0.8444328292232651
a,əw,1000,0.882941445746571,0.338070338462609,0.430433456793885,0.0364844301720727,0.650227188238279,500,0.299882005780191,0.37714133011536405,0.4479738320453305,0.37380831044437957,0.278,0.9744627339860324
a,ɛ,1000,0.835891159843187,0.109861979521923,0.169319376456547,0.0805813852684327,0.844239230190875,500,0.5309852060154385,0.5913999903313727,0.6451975424933487,0.5733077295951458,0.42000000000000004,0.9274077043291028
a,ɛː,845,0.835923496224732,0.149295848019957,0.204337899195712,0.0505501617452102,0.815186873655754,345,0.5495293916870336,0.6651496823190862,0.702083380515822,0.5161834567353112,0.3913043478260869,0.9405994308748146
a,ɚ,1000,0.896813932060449,0.466997564051782,0.691747013933965,0.0425357128715894,0.500700573658464,500,0.20327515872596671,0.25181996792228023,0.3008196524633795,0.2554881027819097,0.31000000000000005,0.8494281355511915
a,ɝ,1000,0.932133365486064,0.542940903516095,0.809763800514646,0.0255517798004761,0.444963153879575,500,0.1597148725638572,0.24715717192257847,0.28951218622810015,0.2150422370268785,0.28600000000000003,0.8247716969931852
a,i,1000,0.925650772211574,0.550833214656088,0.844965528761306,0.0314396476506907,0.429572165840184,500,0.16464146094699736,0.21279815150342318,0.23048977729554349,0.2097732097741749,0.20600000000000002,0.6947938377264756
a,iː,1000,0.968583394005968,0.655246583428003,1.21110366593772,0.0089461885795512,0.297868350796912,500,0.051730003870376545,0.08507335337088906,0.10899461576841177,0.12770871614962193,0.128,0.6651811596280219
a,ɪ,1000,0.898907777045173,0.390387977551943,0.472956368689475,0.0393202127837013,0.623157259752423,500,0.3705352666283276,0.416250038823337,0.43816984518956675,0.35344354741919226,0.324,0.8130125046293607
a,o,1000,0.858590998575236,0.452123605829267,0.711301343229878,0.0476280866923113,0.491004815730866,500,0.2999465058725399,0.34283679489497165,0.3524897180864756,0.24093421944421567,0.258,0.7913999002020956
a,ow,1000,0.898500611306019,0.502428451718205,0.756561786898338,0.0427822837676742,0.469277131231922,500,0.14617944223047938,0.2545600622917672,0.3337684499532496,0.2395765597929048,0.22400000000000003,0.8018236251644454
a,ɔ,1000,0.839272870763168,0.311999831998417,0.396194511546058,0.0579637540619313,0.672875801095144,500,0.40169620507004966,0.47301547817692846,0.4824622603551127,0.4038186134241883,0.31800000000000006,0.8610919435717268
